epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6261,1.01553,2.20976,1.2787,0.96022,0.21856,0.42719,0.26024,1.13629,2.38309,1.34933,0.000463459,0.000463459,0.000463459
2,28.583,1.12932,1.65868,1.34154,0.33573,0.25666,0.33945,0.1758,1.36169,2.09196,1.65521,0.00090878,0.00090878,0.00090878
3,40.7256,1.2304,1.62074,1.38565,0.64082,0.36606,0.35536,0.2032,1.54515,2.17357,1.90538,0.00132266,0.00132266,0.00132266
4,52.829,1.25345,1.64673,1.44175,0.32341,0.28802,0.29173,0.14818,1.69447,2.15829,1.96795,0.00128753,0.00128753,0.00128753
5,64.4727,1.22538,1.6141,1.43685,0.35234,0.29299,0.34015,0.16785,1.67742,2.07055,2.01848,0.00124037,0.00124037,0.00124037
6,76.6594,1.21791,1.52625,1.42373,0.49027,0.34065,0.39825,0.21218,1.52838,1.83501,1.75128,0.00119322,0.00119322,0.00119322
7,87.9002,1.18706,1.45702,1.38995,0.57342,0.38889,0.40838,0.22432,1.41708,1.59502,1.64088,0.00114606,0.00114606,0.00114606
8,100.058,1.16745,1.41574,1.37599,0.46671,0.50323,0.44769,0.23465,1.37013,1.69468,1.63464,0.0010989,0.0010989,0.0010989
9,116.972,1.14126,1.35844,1.35363,0.78773,0.44351,0.52783,0.29524,1.41546,1.46937,1.56971,0.00105174,0.00105174,0.00105174
10,128.865,1.11851,1.31753,1.33757,0.59429,0.50948,0.53034,0.31145,1.26061,1.41136,1.5156,0.00100459,0.00100459,0.00100459
11,140.332,1.0894,1.28163,1.33152,0.65095,0.48319,0.53065,0.29135,1.27424,1.41377,1.50237,0.00095743,0.00095743,0.00095743
12,152.069,1.08304,1.25845,1.3095,0.57175,0.43796,0.504,0.29333,1.35492,1.56766,1.57095,0.000910273,0.000910273,0.000910273
13,164.075,1.07968,1.21736,1.31314,0.59345,0.56409,0.59388,0.36072,1.27326,1.32248,1.50573,0.000863116,0.000863116,0.000863116
14,176.392,1.05109,1.1861,1.29169,0.66386,0.54324,0.59882,0.36582,1.27001,1.39477,1.53063,0.000815959,0.000815959,0.000815959
15,188.501,1.04066,1.14682,1.29959,0.69276,0.60054,0.59191,0.36939,1.23176,1.22711,1.46167,0.000768802,0.000768802,0.000768802
16,200.294,1.02347,1.11272,1.26778,0.55956,0.5373,0.51628,0.32034,1.26,1.28648,1.47021,0.000721645,0.000721645,0.000721645
17,212.935,0.98269,1.07359,1.26147,0.70393,0.50274,0.55511,0.34493,1.22655,1.20623,1.46861,0.000674488,0.000674488,0.000674488
18,224.969,0.97981,1.05913,1.24262,0.84527,0.52639,0.61431,0.40468,1.18548,1.13644,1.4338,0.000627331,0.000627331,0.000627331
19,236.728,0.9636,1.03067,1.24719,0.64241,0.5038,0.54345,0.33831,1.16463,1.14046,1.39176,0.000580174,0.000580174,0.000580174
20,248.854,0.93728,1.00015,1.21536,0.85921,0.51399,0.63803,0.39736,1.15147,1.0806,1.39781,0.000533017,0.000533017,0.000533017
21,262.782,0.96693,1.14636,1.25494,0.75174,0.51292,0.59542,0.39101,1.13522,1.24725,1.38057,0.00048586,0.00048586,0.00048586
22,274.213,0.90702,1.01054,1.20748,0.76492,0.60555,0.67278,0.44376,1.14038,1.13006,1.37705,0.000438703,0.000438703,0.000438703
23,284.974,0.88363,0.90798,1.18709,0.81053,0.54582,0.60584,0.38883,1.19784,1.23165,1.43311,0.000391546,0.000391546,0.000391546
24,296.384,0.8572,0.9098,1.15905,0.81478,0.58376,0.66187,0.43534,1.12061,1.09451,1.34887,0.000344389,0.000344389,0.000344389
25,307.894,0.81648,0.79808,1.13634,0.86284,0.55086,0.65088,0.43764,1.1208,1.06763,1.37753,0.000297232,0.000297232,0.000297232
26,319.57,0.80228,0.79599,1.11477,0.83967,0.5435,0.6532,0.42583,1.15163,1.03305,1.39857,0.000250075,0.000250075,0.000250075
27,331.146,0.78253,0.75931,1.10037,0.77695,0.58861,0.6482,0.43622,1.10769,1.03951,1.37099,0.000202918,0.000202918,0.000202918
28,342.72,0.7566,0.74651,1.10432,0.84546,0.55959,0.6566,0.44522,1.09782,1.03048,1.35933,0.000155761,0.000155761,0.000155761
29,354.041,0.7415,0.71112,1.08077,0.90207,0.55346,0.6771,0.44698,1.11189,1.0249,1.36085,0.000108604,0.000108604,0.000108604
30,364.7,0.74646,0.69948,1.08028,0.82448,0.59986,0.67757,0.44553,1.10695,0.99136,1.35754,6.1447e-05,6.1447e-05,6.1447e-05
